ppm,C1211,C1212,C1213,C1214,C1215,C1231,C1232,C1233,C1234,C1235
3.92052,0.000444646,0.0004235,0.000444648,0.000309193,0.000401863,0.000339786,0.000229739,8.33E-05,0.00038026,0.000213335
3.91927,0.000415146,0.000397329,0.000430743,0.00031139,0.000406779,0.000339559,0.000217614,8.51E-05,0.000378738,0.000217935
3.91802,0.000402865,0.000390244,0.000430307,0.000334144,0.000434019,0.0003511,0.000218207,0.000111547,0.000408328,0.000246658
3.91677,0.000428901,0.000421267,0.000459424,0.000382077,0.000488969,0.000379374,0.000241111,0.000166688,0.000479108,0.000308542
3.91552,0.00050676,0.000500827,0.000526968,0.000450356,0.000566044,0.00042515,0.000289931,0.000243078,0.000584361,0.000399584
3.91427,0.000631316,0.000621144,0.000626318,0.000524005,0.000648374,0.000483029,0.00035877,0.000322529,0.000699104,0.000500844
3.91301,0.000774875,0.000753955,0.000733762,0.000582846,0.000713686,0.000541447,0.000432423,0.000383119,0.000789366,0.000585427
3.91176,0.000896185,0.000860378,0.000817173,0.000609954,0.00074353,0.000585766,0.000491299,0.000408612,0.000827458,0.000630346
3.91051,0.00095843,0.000908313,0.000850601,0.000598714,0.000730723,0.00060375,0.000519261,0.00039463,0.000803929,0.000625799
3.90926,0.000945301,0.000886549,0.000825788,0.000554559,0.000681097,0.000590605,0.000509962,0.000348719,0.000729646,0.000577134
3.90801,0.000866155,0.000807744,0.000754212,0.000491309,0.000609396,0.000550804,0.000468302,0.000285403,0.000628437,0.000499869
3.90676,0.000748537,0.000699739,0.000659533,0.000425151,0.00053301,0.000496133,0.000407291,0.000220215,0.000526283,0.000412539
3.9055,0.000624042,0.000592033,0.000566203,0.000370177,0.000468016,0.000441294,0.000343161,0.000166518,0.000444459,0.000332751
3.90425,0.000518108,0.000507131,0.000492426,0.000337191,0.000428321,0.000399281,0.000291195,0.000135412,0.000399082,0.000277156
3.903,0.000449228,0.000460703,0.000450858,0.000333843,0.000424598,0.000378589,0.000263265,0.000135373,0.000402117,0.000260854
3.90175,0.000432022,0.000464354,0.000451648,0.000362905,0.000460352,0.000382656,0.000266294,0.000168856,0.000457557,0.000292044
3.9005,0.000474682,0.000522629,0.000500036,0.000418531,0.0005272,0.000409983,0.000300346,0.00022778,0.000553993,0.000364379
3.89925,0.000569907,0.000624657,0.000588497,0.000484334,0.000604592,0.000453713,0.000356641,0.000293078,0.00066209,0.000454408
3.89799,0.000688976,0.00074014,0.000691912,0.000537399,0.000666655,0.000501481,0.000417874,0.000341218,0.0007436,0.000529066
3.89674,0.000788912,0.000828098,0.000774128,0.000557848,0.000693025,0.000537929,0.000462992,0.00035484,0.000768747,0.000560334
3.89549,0.00083135,0.00085559,0.000804319,0.000538509,0.000677546,0.000550323,0.000475658,0.000331043,0.000731034,0.000538465
3.89424,0.000801396,0.00081419,0.000772631,0.000488521,0.000630175,0.000534464,0.000451996,0.000282352,0.000650283,0.000475922
3.89299,0.000714665,0.00072395,0.000695237,0.000428562,0.00057157,0.000496964,0.000402731,0.000230002,0.00056239,0.000400146
3.89174,0.000608589,0.000622663,0.000606091,0.000380651,0.000523508,0.000452183,0.000348326,0.000193676,0.000501992,0.0003399
3.89048,0.000523395,0.000547075,0.000540208,0.000358418,0.000500197,0.000415586,0.000309719,0.000183513,0.0004878,0.000313202
3.88923,0.000484135,0.000517175,0.00051817,0.000362825,0.000504088,0.000397022,0.000299472,0.000197844,0.0005176,0.000322314
3.88798,0.000493114,0.000531341,0.000539913,0.000384369,0.000527019,0.00039754,0.00031755,0.000226116,0.000573006,0.00035581
3.88673,0.000533599,0.000571522,0.00058873,0.000409365,0.00055548,0.000410945,0.000353499,0.000254692,0.000629607,0.000395162
3.88548,0.000580257,0.000613479,0.000641242,0.000426867,0.000577745,0.000428253,0.000392845,0.000273388,0.000668357,0.000423574
3.88423,0.000611656,0.000638247,0.000678689,0.000433374,0.000589328,0.000442377,0.000424152,0.000280239,0.000684146,0.000434005
3.88297,0.00062033,0.000640877,0.000695319,0.000433512,0.000594103,0.000451343,0.000443869,0.000281883,0.000687398,0.000432082
3.88172,0.00061512,0.000631551,0.000699479,0.000436798,0.000601511,0.000458962,0.000457583,0.000289622,0.000697676,0.000432333
3.88047,0.000614545,0.000628495,0.000707213,0.000452969,0.000622692,0.000472739,0.000477264,0.00031447,0.000734053,0.000450937
3.87922,0.00063718,0.000649114,0.000733926,0.00048861,0.000667396,0.000500054,0.000515697,0.000364084,0.000808428,0.000499741
3.87797,0.00069611,0.00070547,0.000789923,0.000545719,0.000741007,0.000544922,0.000580975,0.00044097,0.000923099,0.000582887
3.87671,0.000797348,0.000802706,0.000879511,0.000620758,0.000840985,0.000606573,0.000673486,0.000540324,0.001069724,0.000694668
3.87546,0.00093736,0.000935992,0.000999351,0.000703739,0.000954456,0.00067932,0.000785518,0.000648274,0.001228596,0.000818553
3.87421,0.001098788,0.001086673,0.001135312,0.000779027,0.001060029,0.000753113,0.000902479,0.000743691,0.001370665,0.000929466
3.87296,0.00124997,0.001223449,0.001262057,0.000829706,0.001135259,0.000815317,0.001005603,0.000805228,0.001465317,0.001001441
3.87171,0.001353817,0.001312694,0.001349906,0.000844623,0.001166714,0.000854225,0.001076736,0.000821166,0.001492829,0.001019014
3.87046,0.001384724,0.001334481,0.001378328,0.000824174,0.001156097,0.000863634,0.0011045,0.000795666,0.001454789,0.000985887
3.8692,0.001342965,0.001293926,0.001347849,0.000780653,0.001118125,0.000846261,0.001089535,0.000746405,0.001374752,0.000923471
3.86795,0.00125464,0.001218174,0.001280495,0.000732724,0.001072957,0.000813713,0.001045893,0.000695652,0.001288388,0.000860135
3.8667,0.001156997,0.001141341,0.001208153,0.000698213,0.001039671,0.000782141,0.000996761,0.000662246,0.001230855,0.000820308
3.86545,0.001082398,0.001090847,0.001159346,0.000689735,0.001033452,0.000766041,0.000966177,0.000659009,0.001228422,0.000820603
3.8642,0.001052447,0.001084338,0.001153856,0.000713547,0.001063932,0.000773867,0.000971115,0.00069288,0.001293432,0.000870351
3.86295,0.001079671,0.00113285,0.001203,0.000768789,0.001131895,0.000807021,0.001017122,0.000763277,0.001418784,0.00096968
3.86169,0.001166678,0.001240369,0.001308004,0.000846061,0.00122625,0.00086069,0.001097147,0.000859074,0.001574012,0.001104842
3.86044,0.001300044,0.001397884,0.001455535,0.000927857,0.001325537,0.000924798,0.001192581,0.000959139,0.001711223,0.001248091
3.85919,0.001447064,0.001580213,0.001617889,0.000993565,0.001405518,0.000985245,0.00127721,0.001039502,0.001783694,0.001367496
3.85794,0.001564072,0.0017532,0.00176296,0.001027579,0.001449042,0.001027122,0.001325329,0.001083759,0.001767682,0.001441899
3.85669,0.001614743,0.00188854,0.001868875,0.001025564,0.001452126,0.001039851,0.00132198,0.001089632,0.001672675,0.00146958
3.85544,0.001586968,0.001975077,0.001932032,0.00099483,0.001422973,0.001021613,0.001269618,0.001067285,0.001533963,0.001464078
3.85418,0.001497055,0.002017614,0.001962315,0.000949209,0.001375883,0.000980108,0.001186675,0.001031464,0.001394452,0.001441744
