ppm,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
1.008036169,4.208080429,8.712594337,8.101541651,3.320260401,6.753870527,8.203645715,6.874280359,8.029536201,10.49576488,6.724651338,5.378015709,7.00578214,5.446084425,5.237617287,7.960751794,9.091952786,9.445030325,7.600763452,11.32335714,7.880673906,6.153664918,5.730228561,11.09224596,6.747495804,9.876033489,9.45640888,6.298372916,7.272671088,10.47753203,5.688443345,5.632466216,11.38654827,9.417282403,7.785410474,9.360016728,7.368298826,10.15400839,5.862720087,4.351250391,5.495382673,8.034750636,8.812159433,7.673449693,6.421632143,7.092635726,7.737544007,6.997667608,8.575633536,6.745460472,7.935413261
1.009203194,6.055258009,10.60525078,8.20992709,4.646893359,8.57389145,9.014615557,7.414557767,9.680191335,11.83791373,7.344052153,5.508080578,6.184005461,6.30313981,5.621917002,9.246589541,9.498921058,10.9078208,7.955553315,12.17020794,8.755775067,7.391970667,6.299451245,12.38721706,7.646700071,10.68123027,11.15574196,7.425670261,7.689843849,12.05188157,6.839051883,6.736164342,12.1840102,10.19029694,9.649523562,10.00252633,8.735437208,11.73138122,6.580461519,5.099757816,6.379830778,8.757615195,9.399559534,9.340965797,7.567286924,7.748504599,9.362820273,6.996249868,9.825368575,7.235596172,8.348648379
1.01037022,6.880882624,12.48360363,9.70318433,5.940287448,8.532564907,10.19596506,8.41744305,10.45025772,13.28503543,8.647500296,5.670540957,7.028872662,7.953661379,6.262714321,10.67699926,10.8888722,12.07115061,9.39079119,13.46683759,9.68553879,8.416248538,6.868893228,13.83264026,7.892087493,12.779672,13.02242206,8.814549026,9.087567898,13.80014294,8.860644912,8.196469386,13.60994533,12.65095387,10.73658412,11.59721896,10.44137184,13.5517232,7.857949739,5.570209057,7.246442575,10.23714844,10.22492396,10.57390117,9.155857812,8.534214511,11.01753395,8.86434299,11.62713106,8.308482586,10.3021239
1.011537246,7.56549485,14.21631125,11.33921205,7.656760275,10.19873435,12.62010802,10.1237958,12.42874519,15.84344961,10.42158867,6.763050358,8.929590735,9.179317937,6.973128403,12.73985801,12.86833487,14.2331049,11.37702526,16.42429081,11.39925451,10.3422397,8.369078788,17.00691024,9.196571176,15.40128337,14.73528352,10.9548492,10.98004361,16.37706732,10.07298175,8.95708277,16.71781199,14.47841205,12.32729912,14.10300897,13.00105544,15.75855854,9.822782404,6.443008574,9.229511608,11.44297611,11.61380017,13.35089238,11.32461466,9.983032783,13.50426148,9.7175872,13.11685635,10.07820554,12.48325757
1.012704271,9.007371934,17.12812061,13.21234643,9.1704152,12.83214349,15.20871636,12.77004415,15.37461364,18.84891304,12.53530496,8.758664845,10.0626274,11.02946283,8.336262504,15.99596684,15.00741687,16.4254136,13.53835079,18.83040316,13.84993688,13.1929612,9.427289774,20.99652268,11.27350782,18.06812075,17.40728687,14.0275977,13.61252346,19.7147613,11.88585233,10.00724916,18.57885051,17.95167386,14.52405948,17.21419622,16.4436763,19.23719938,10.84848711,9.091469058,11.0772761,14.27327916,14.17336454,15.96737756,14.27721857,12.03768909,15.77450448,10.97584744,14.70042,12.09997468,14.71594371
1.013871297,11.47244659,21.35374182,17.00418275,11.60877721,15.43916182,18.85637499,15.5864295,18.88797041,23.29949422,15.04761608,10.71604525,13.04497555,12.94211849,11.16175088,20.14811367,17.38336037,19.25724842,16.29791707,23.22463591,17.02656491,16.68023587,12.13026899,26.95237834,13.49979801,21.61088807,20.46411423,17.19706389,16.49164273,25.10251676,15.39263715,11.66400845,21.83966649,21.42283848,17.82644346,20.72862174,20.06770471,23.48469654,13.88758185,11.07571609,14.45421576,16.38322611,16.87905643,18.6867104,17.48433039,14.91663305,18.67675938,12.95354046,18.03722384,13.90112014,18.76217666
1.015038323,14.36101136,26.80571315,20.98909222,14.37016636,18.89794148,23.89060549,20.0984605,24.41481033,29.42474884,18.69085295,13.27444981,15.85160045,16.00977472,14.85351128,25.03211174,21.33320601,23.7596561,20.38133185,28.40970522,19.9129191,20.73605784,15.97106775,34.92423925,16.16201701,26.11253301,25.56568491,21.22399814,20.83511716,30.45304637,19.90176741,14.7127013,27.79860056,26.45481085,23.03220846,25.19151173,24.99809278,29.37409515,17.26552211,14.58189315,17.91809734,19.83230167,20.848137,23.78239619,21.67767151,18.70876735,22.79959062,16.56587361,21.99231896,16.42008611,23.04589374
1.016205348,18.25869204,34.41773184,27.44584314,19.15706342,25.17389039,30.17287088,25.89600003,31.8365553,38.53274633,25.57217857,17.95352563,21.58356976,21.24065899,19.05638061,32.65542439,27.22980753,30.83247545,26.31826466,36.06523949,25.3289111,26.82288891,20.65096224,45.62975477,21.33352639,33.18821582,32.67102381,28.08722521,26.54393979,39.68627002,25.57787757,19.06530831,35.07201717,33.8970691,30.83646132,31.79147057,31.53788823,38.60831351,23.22664409,18.3221245,23.82609474,26.03662857,27.23974975,31.03753712,27.97513339,24.95541783,29.08838625,21.94926456,27.57949502,21.23623976,29.60312518
1.017372374,24.76586085,45.85486373,36.12923951,25.83992861,32.94563132,39.91393216,34.99768025,42.14404366,50.55207733,34.63548899,23.91185825,28.4423568,28.651962,25.1696627,42.86347684,35.0026974,41.11687055,34.21385984,47.5818233,33.11197124,35.25485304,27.39364607,60.34563369,28.33314329,43.56709314,42.66437763,36.90672797,34.55565238,51.95241191,34.1978495,24.78233522,45.35710292,44.47229898,40.98262298,42.20314016,42.40540717,50.71919197,30.45653763,23.50011235,30.84204781,33.62721964,35.97108411,40.54187924,36.80565456,32.86745796,38.30031917,29.26508904,36.88070878,28.29243975,39.23700306
1.0185394,32.61382222,58.68326096,46.03779207,32.95321362,42.45779727,50.61459598,44.58828598,53.75361901,64.93777254,45.13511976,30.30633297,35.99501123,36.6976355,32.27118609,55.01996186,44.45762726,52.71789952,44.01078179,60.28768762,41.43315846,45.06320972,35.68983725,76.95808941,37.24351189,55.50755634,54.50163816,47.72623328,43.31641668,67.74082041,44.44347094,32.08165856,58.1946598,56.95914928,52.91478646,53.46138055,54.26201725,65.41999077,39.20984005,30.66846949,39.63796011,43.73168297,46.59456808,51.86736064,47.32283145,41.77956083,48.4910976,37.91730456,47.07594634,35.95280152,50.10770225
1.019706425,38.4030014,69.07980273,53.8480706,38.97360817,50.17975374,58.53059484,52.72976245,62.77196081,76.54288464,53.63568821,35.7005618,42.33637645,43.10175547,38.40475,64.65609775,51.36028209,60.4042625,51.35441104,70.7638241,47.67191274,52.18601788,41.18239122,89.42686583,43.46778334,65.26753729,64.82892763,54.95733309,51.42929955,80.6947503,53.24277502,38.50646991,68.70500009,66.72410082,61.35812279,62.79723894,62.70464997,76.63220944,45.93822801,35.66452944,46.86792702,51.36776299,54.12990751,60.46102508,55.61589313,49.63005616,56.08755386,44.00684868,55.56442291,41.86330203,58.50293253
1.020873451,39.31294333,70.05023784,54.75089522,40.04412578,51.07376449,60.17152985,54.15227083,63.96645432,77.75688003,55.55628474,36.94030998,43.1992906,44.99499309,39.543836,65.53580345,52.40867504,61.32290693,52.71473118,71.59613744,49.09766711,53.67489745,42.30363348,91.1914188,44.06239232,66.84005054,66.28675897,55.9250635,53.5524425,83.09231506,54.71798611,39.12405607,70.75880988,67.89812357,62.2415622,64.28098525,64.22367962,77.96061262,46.68381538,35.38004706,47.13756656,52.97632813,55.79921911,61.24843922,56.54539839,50.55624474,57.04555512,44.72699163,56.87343473,42.84093924,59.85410421
1.022040477,34.82162425,62.94466992,48.96166841,36.15539257,46.37274259,52.60701724,48.79827625,57.54846104,69.14388453,49.64512756,33.25009852,38.48537974,40.41151149,36.05518899,59.32915818,46.54735912,54.73841401,47.3574377,64.0917542,43.30029554,47.71135407,38.34953167,81.21638234,39.77477241,59.96241183,59.71898299,50.01944638,48.14230702,75.15955071,48.83528131,35.38463345,63.11906589,61.68807718,55.57395126,57.33721732,57.94784241,69.14840874,41.50003049,31.16893598,42.93059654,47.99693623,50.33863947,55.10305934,50.41033636,45.60737245,50.55318756,40.11271936,51.15223216,37.89440716,54.10992529
1.023207503,28.65875658,51.2565411,39.2725659,30.1001585,37.51257423,43.42450376,39.66761739,46.95184091,55.92156453,40.34699976,26.94974181,30.78810454,33.38615033,29.79046849,48.46731576,38.08681517,45.26528874,38.84094925,51.79424387,34.94173268,38.84065577,31.15270621,65.96389042,31.79046784,49.52662048,49.35023809,40.84304403,39.15687251,62.14232795,40.17979924,29.23402783,51.37216626,49.95730246,44.90841369,47.62960544,47.75253321,56.01450039,34.00365717,25.82989479,35.1023583,39.19051144,41.14260619,45.34468816,41.38670356,36.83044985,41.39975445,32.56772871,41.94130867,31.48060189,44.51070695
1.024374528,22.91084312,39.91756605,30.32826787,24.29383521,30.07883403,34.9027781,31.25541858,37.17424671,44.00898673,32.13126111,21.59958179,24.56036351,25.95329949,22.79402458,38.37375646,30.1918269,35.36345847,30.83913164,41.43766462,26.886737,30.6468331,24.58811153,51.94942894,25.01828178,38.96709814,39.041273,32.04209041,31.37393547,49.15765492,31.91279939,23.19987395,41.38216449,39.99624791,35.336363,37.52263937,37.23871973,44.36185477,26.97958337,20.30371601,27.16954467,31.24423968,32.58443831,35.73447183,32.96657294,29.35354968,32.25736047,26.64152242,32.60858359,25.19747778,34.71265911
1.025541554,19.37179853,32.24731816,23.32563806,19.01548028,24.1280886,28.20401821,25.54740371,30.11258761,35.89719008,25.2731928,17.39793984,20.05919355,20.23419773,18.08237781,30.13983415,24.44564128,27.93764867,24.39521416,33.1377932,21.33471613,23.96683052,19.25038581,41.58824465,19.20682023,31.27977721,31.8454017,25.53540861,25.15788112,39.74948301,26.10501588,18.98722342,33.52550035,31.52639498,28.0427847,30.46706927,31.18862389,35.30118866,20.87306808,16.4553937,22.17959376,24.53932249,27.31482671,28.76620379,26.17715668,23.19576176,25.17229194,21.00215259,25.68770588,20.49950048,28.11802129
1.02670858,16.69318212,26.82472409,19.57094461,15.92340874,20.31316627,23.48254384,21.78478865,24.83357716,29.78857342,20.72031514,14.85553565,16.70350467,16.07347563,14.11743639,24.96036996,19.87589223,24.41581509,19.97200723,27.71967544,17.9101858,19.98667638,15.69816576,35.17481985,15.54187826,25.72767413,27.04684408,21.23627152,20.84605432,34.24539137,22.56115209,16.72841361,28.38203398,26.46916013,23.36777924,24.70792677,26.25260154,30.17162845,17.49358976,13.56294507,18.19756426,21.24257875,23.5400578,24.55694627,22.27541788,19.45076895,21.22842447,17.64484732,21.70628694,17.64602732,23.59527275
1.027875605,14.65092615,24.44806388,17.04964027,14.2312799,18.22650028,20.60625497,19.60476199,22.34278096,27.07995033,17.98853539,13.04293783,14.89568955,14.58536922,13.22341899,22.56326406,17.86820279,21.60591859,17.62999727,24.75813296,15.66123266,17.99179387,13.09678794,31.11793844,13.34735516,22.68599048,23.57135176,19.15471965,18.86992427,30.17392711,20.42708393,14.78787618,25.02489663,23.471341,20.09163442,22.53910857,23.92850728,26.55487146,15.47263989,12.15777914,16.35147791,19.37112488,21.34131332,21.61516869,18.46135909,17.87067899,19.04503357,15.0300545,19.74331759,15.44402664,21.60738501
1.029042631,13.41633756,23.40340196,17.04953339,13.87798318,16.754324,19.98215428,18.97517098,20.90097232,26.16972807,17.1615419,11.97712229,14.99573376,13.86175386,13.4533145,21.78275156,17.13240911,20.44769635,17.02647967,23.5482082,14.5425005,16.62891008,12.54439102,29.47085722,12.66940275,22.47049615,22.09837454,17.93438635,18.59853956,28.82644352,18.91959464,13.83592022,23.72584992,22.39738404,18.90682564,22.14344265,23.37971919,25.8537573,14.44885573,11.68045648,15.71793293,17.85825864,20.25518887,19.87538853,17.4545209,17.60252303,17.53634098,14.83604373,18.94042224,15.10582793,21.17274452
1.030209657,14.68501577,24.25011823,17.1188476,15.28185128,17.03779779,20.02600547,19.24436983,21.3987317,27.90628458,17.62795685,12.00738843,14.96469851,15.34574529,14.4179508,21.82184164,17.35163443,20.44604164,16.80179892,24.88652006,15.34029795,17.47416501,13.3992565,29.80993364,13.50787076,22.31980729,23.06884462,18.51007371,19.5160972,29.62803661,18.57844812,13.67934579,24.48555504,23.66764125,19.02969122,23.21182131,23.27458361,26.54638009,14.23991961,12.51681498,16.46976047,18.35809164,21.17943602,19.55387562,18.28344042,18.3568349,18.43249544,15.35651131,19.26171617,15.56321592,21.71191986
1.031376682,15.05970871,27.6674736,18.63069218,17.07450223,19.51633809,23.24682143,21.18301107,22.64881337,31.04493901,19.55556455,13.32610934,16.29232337,16.64554175,14.9497485,23.33897584,18.91024158,22.61291419,18.38814549,27.10714916,16.67885289,19.24294008,15.08672711,32.43872453,15.15646267,24.68357835,25.1214215,20.04217889,21.16886777,31.87436514,20.24041858,14.63231389,26.38825087,25.46301915,20.63329145,24.57929934,25.15203871,29.00949631,15.23221337,13.85142798,17.97190372,20.98869881,22.66610432,21.02632745,19.88498288,20.04818774,20.5194908,17.02600355,20.76185721,16.1521887,23.49831529
1.032543708,17.35819555,31.7266643,21.66396871,19.56040717,22.49349998,26.2679591,23.31178847,26.72061029,35.75486905,23.22755618,15.23005358,18.7191359,19.25752238,17.45284485,27.09411252,21.92323359,26.53697745,22.01529876,31.55994833,19.4424386,22.74438181,18.43155415,38.4663225,17.44547559,28.51664547,29.07198587,23.16122399,24.36300204,37.19745306,23.3049062,17.55848878,30.42670279,30.04177841,24.42816776,28.56606562,28.08784241,33.18621236,17.61233601,16.2742163,20.63688297,24.3812039,25.19069456,24.96147262,22.9694856,22.98334958,23.4436613,19.58704693,24.61325814,19.22086831,27.18937146
1.033710734,21.12543393,38.81439977,27.37350263,23.28359151,27.30920058,30.87379649,29.54923631,32.47593855,43.45323882,28.60755574,18.9343411,22.51464371,23.74656589,21.05970086,33.64458828,27.21893518,32.40190282,27.60452294,37.81511666,24.49898249,28.22741064,21.74769547,46.97337783,21.8389813,34.99096335,35.36764682,28.57039704,29.01363886,45.33922492,28.81428394,20.8485075,36.40395308,36.60012239,30.70158233,34.00717203,33.68885728,41.05662018,22.83702884,19.96971625,25.31115729,28.77070561,30.39021887,31.42749995,29.26821928,27.9894816,28.98380345,23.87699622,29.86272945,23.41625612,32.4972817
1.034877759,26.84710894,49.2310895,35.49309004,29.51035095,35.04741023,39.40297593,37.67636664,41.64447948,55.37490515,37.21059518,24.37322696,28.49243836,30.52173061,27.18389759,42.9123126,35.15375794,41.91311548,34.41360479,48.45669012,31.13613087,35.70023883,27.44222799,60.54385649,28.72106606,44.82525322,45.21581665,36.9895027,35.92491253,57.50520204,36.70504374,26.43765268,47.08002345,46.43947733,40.46676895,42.83024166,43.923738,52.74267027,30.09881913,25.38818577,32.15072575,36.54095795,38.89267563,40.93465215,37.95423104,35.8679071,37.4460009,30.56355763,37.38322471,29.55268983,40.25226626
1.036044785,33.61422068,62.85906644,46.52629823,36.77673625,44.37534726,48.92552922,47.33096325,53.71801702,69.19356875,47.51420082,31.12952143,36.52833503,38.5791884,34.16401984,54.80514167,44.51476608,53.35509731,43.97137828,60.71103721,40.42735487,45.63515696,34.99472851,77.42768834,36.76930815,57.8780971,56.86210377,47.04063548,45.84796792,72.05289076,46.79108281,32.82126424,59.36123909,58.50117714,52.40698086,54.68564956,55.20576346,66.50761282,38.79157877,33.5134486,39.70819282,46.24440544,49.69285563,50.9591997,47.4131103,45.03089702,48.15447677,38.85984631,47.91986618,37.46747985,50.77858414
1.037211811,39.96018853,72.39487272,54.91254443,42.21414231,52.16161788,58.21661233,54.0949824,61.98926294,80.99531564,55.75575364,37.70450723,42.63256861,44.78462986,39.37891284,64.47110043,52.14695968,62.37010664,51.13026354,70.77020542,47.50094647,53.5649869,40.90622002,90.28397746,43.47170396,67.73688691,66.00179205,54.57863584,53.85146808,83.26340723,53.84415006,39.09413242,70.14049825,68.37400888,62.00977017,64.48485451,63.70594761,77.09673483,46.37186689,38.47257228,46.95773015,53.20891116,57.4389442,59.30046593,56.17137875,51.89705279,56.51060516,45.10974322,56.42647236,43.44650749,58.91613343
1.038378836,40.54728462,72.67206027,55.89869439,43.42656523,53.16040702,59.96315027,55.18245791,63.01055563,82.69165337,57.60673002,37.61855838,43.76292408,46.26535032,40.96058955,65.9948256,53.1135361,64.41521893,51.86592612,72.75715407,49.43149177,55.43444302,42.70177055,91.31392841,44.86949739,69.23823275,67.48359077,55.52399132,54.9578996,85.38905181,55.25643395,39.82638855,71.79804014,70.09921628,63.76868899,65.49729542,64.24556912,78.26451881,47.5664131,39.08775586,47.51767037,54.26255505,57.22500381,60.75146283,57.49590849,53.55089764,57.91724729,46.12375247,57.72925244,43.9844692,60.05033093
1.039545862,35.97884086,64.93134486,49.64902399,38.66602193,46.69414365,52.95377506,49.47286593,55.54849377,73.45413208,51.20795771,33.67654689,39.62065428,41.27370125,36.45138985,59.16481958,47.75529328,57.32706226,45.51672627,64.02199757,44.42946945,48.43040883,38.66177136,81.47843831,39.50671546,61.83279745,59.38856126,49.37035736,48.96330744,76.01796184,49.00876936,35.85449847,63.57789459,62.4470174,55.89565811,57.87129362,56.76174804,69.84380144,42.61919917,35.8850276,41.62217833,48.33579426,50.54768183,54.14949151,50.51742252,47.5856538,50.99792174,41.19262049,51.43824348,38.15374636,53.91756298
1.040712888,28.59116061,52.92797832,39.21193955,31.22765311,37.52332945,42.48092804,39.70044511,45.51599218,58.82259204,41.08187941,26.50478886,31.58559594,33.15322148,29.87749177,47.11785972,38.46934359,46.27522363,36.29731388,51.3525839,35.57621254,38.85556431,30.0539029,64.19548522,31.48971407,49.60079289,48.10573351,39.35848641,38.52646352,60.73415304,39.83400739,29.20894824,50.69000459,51.12297942,43.99942491,45.93215442,44.91547994,55.48325254,34.2907124,28.70641302,33.03766094,38.57256299,40.14628917,43.16988875,40.46840621,38.97951124,40.02561645,32.95489781,41.0921523,30.60831281,43.35740889
1.041879913,21.27053418,40.57266055,29.43421155,24.98903985,28.31840339,31.92632757,30.38928399,34.1745313,44.515875,32.00849543,20.75449732,24.27234843,25.2831806,22.51699166,35.8992787,28.78621341,35.18154627,27.32931196,38.83379255,27.70020694,29.68330546,22.22429099,47.83006582,23.97555404,37.5930966,36.97063764,29.66594432,29.35476203,46.04217257,30.80205224,22.48671715,38.08027346,38.630801,32.21518668,34.26534859,33.81933405,41.95323831,25.81093523,21.58182487,24.91836602,29.36428724,30.06289088,32.77102554,30.43391784,30.68725876,30.46026717,24.81046971,30.36748028,23.61872652,32.49778826
1.043046939,16.03681086,30.625096,22.09725124,19.20480055,21.79738723,23.42152001,22.014268,25.35322779,33.7340738,23.70511924,15.95212454,18.05137198,18.95627698,16.59501421,27.00297756,21.16197305,27.2158317,19.86869882,29.3403634,19.73976867,22.29499598,16.92646484,35.43442482,17.36498752,27.72567886,27.66791978,21.7047118,21.57938323,34.11596207,22.91230732,17.92969446,28.34184719,29.28482024,23.29408643,26.6409939,23.85081071,31.60706348,19.29711161,16.37887669,18.37273118,22.81693327,22.06631064,24.43305977,22.41132333,23.44356163,22.935163,18.58472686,22.89132736,17.94318815,24.36663859
1.044213965,12.12836255,23.59348414,16.51030171,14.57563509,17.17024399,17.56793825,17.27266761,19.1090681,25.81490594,17.91663602,12.0832449,14.33148826,14.27833761,11.97421292,20.25658839,16.05231932,20.2414053,14.60574233,22.77036753,14.78995542,17.45768213,13.3324443,26.45062082,13.22855104,20.31805053,21.40199374,15.95271703,16.37943929,25.58826423,17.51330773,13.59492318,21.09952824,22.96118115,16.66325893,19.97134106,17.72040341,23.61907275,14.82541602,12.04993731,13.76455072,17.3958216,16.46551232,18.1347407,17.38801326,18.5197407,16.57734336,13.47894732,16.88202141,13.34225996,17.8253049
1.04538099,9.297714724,17.96089533,12.87713531,11.82717892,13.7243427,12.68326738,13.17660767,14.09766797,19.28453556,14.00439482,9.018236283,11.32059661,11.83220538,9.128731656,15.50822126,12.94774886,15.92641296,11.27724952,17.83509183,11.68816259,13.27916184,10.31635602,20.21705389,9.73243789,15.798978,16.37767786,11.75135247,12.63997485,19.85534504,12.98274096,9.924443949,16.60653259,17.28459133,11.83006501,15.23229259,13.73576811,17.38704713,11.23087869,8.798655579,10.27041346,13.99731005,12.4792305,14.52251587,14.22253395,14.92691082,13.02726255,10.21432944,12.62848262,10.49958878,13.6716267
